M0X,M0Y,M0T,M1X,M1Y,M1T,M2X,M2Y,M2T,M3X,M3Y,M3T,M4X,M4Y,M4T,M5X,M5Y,M5T,M6X,M6Y,M6T,M7X,M7Y,M7T,M8X,M8Y,M8T,M9X,M9Y,M9T,M10X,M10Y,M10T
0.0,0.0,0,1.3636474609375,77.8636474609375,0,4.5,128.0,0,8.0,182.5,0,6.0,235.0,0,10.5,333.5,0,16.5,409.0,0,11.5,462.5,0,12.5,517.2222290039062,0,17.0,569.0,0,12.5,648.5,0
0.0,0.0,0,1.73077392578125,78.0,0,4.61346435546875,128.2479248046875,0,8.0,182.5,0,5.5,235.5,0,10.5,333.5,0,16.5,409.0,0,11.5,462.5,0,12.5,517.3181762695312,0,17.0,569.0,0,12.5,648.5,0
0.0,0.0,0,1.5,77.8636474609375,0,4.5,127.8636474609375,0,8.16259765625,182.31488037109375,0,6.0,234.8636474609375,0,10.5,333.3636474609375,0,16.5,408.8636474609375,0,11.5,462.3636474609375,0,12.5,516.8636474609375,0,17.0,568.8636474609375,0,13.0,648.3636474609375,0
0.0,0.0,0,1.73077392578125,77.8636474609375,0,4.5,127.5909423828125,0,8.0,182.3636474609375,0,6.0,234.8636474609375,0,10.5,333.18182373046875,0,16.5,408.8636474609375,0,11.5,462.3636474609375,0,12.5,516.8636474609375,0,17.0,568.8636474609375,0,12.5,648.3636474609375,0
0.0,0.0,0,1.5,77.8125,0,4.5,128.0,0,8.16259765625,182.45123291015625,0,6.0,235.0,0,10.0,333.1363525390625,0,16.5,409.0,0,11.5,462.5,0,12.5,517.0,0,17.0,569.0,0,12.5,648.5,0
0.0,0.0,0,1.5,77.40911865234375,0,4.5,127.40911865234375,0,8.0,181.90911865234375,0,6.0,234.40911865234375,0,10.5,332.727294921875,0,16.5,408.727294921875,0,11.5,461.90911865234375,0,13.0,516.9091186523438,0,17.0,568.4091186523438,0,12.5,647.9091186523438,0
0.0,0.0,0,1.5,77.8636474609375,0,4.5,127.8636474609375,0,8.16259765625,182.31488037109375,0,5.5,234.8636474609375,0,10.5,333.18182373046875,0,16.24505615234375,408.79412841796875,0,11.5,462.3636474609375,0,12.5,516.8636474609375,0,17.0,568.8636474609375,0,13.0,648.3636474609375,0
0.0,0.0,0,1.5,77.8125,0,4.5,128.3499755859375,0,8.0,182.5,0,6.0,235.0,0,10.5,333.31817626953125,0,16.5,408.6500244140625,0,12.0,462.0,0,13.0,517.5,0,17.5,568.5,0,13.0,648.5,0
0.0,0.0,0,1.5,77.8125,0,4.5,128.0,0,8.16259765625,182.45123291015625,0,6.0,235.0,0,10.5,333.31817626953125,0,16.5,409.20001220703125,0,12.0,462.0,0,13.0,517.5,0,17.0,569.0,0,13.0,648.0,0
0.0,0.0,0,1.5,78.0,0,4.5,128.0,0,8.0,182.5,0,6.0,235.0,0,10.723388671875,333.074462890625,0,16.24505615234375,408.93048095703125,0,12.0,462.0,0,13.0,517.5,0,16.71875,569.0,0,13.0,648.0,0
0.0,0.0,0,1.5,77.8636474609375,0,5.0,127.727294921875,0,8.0,182.3636474609375,0,6.0,234.8636474609375,0,10.73333740234375,333.09698486328125,0,16.5,408.513671875,0,12.0,461.8636474609375,0,12.5,517.3636474609375,0,17.0,568.8636474609375,0,13.5,648.3636474609375,0
0.0,0.0,0,1.5,77.6500244140625,0,4.5,128.0,0,8.0,182.5,0,6.0,235.0,0,10.5,333.31817626953125,0,16.5,408.6500244140625,0,12.0,462.0,0,13.0,517.5,0,17.0,568.5,0,13.0,648.5,0
0.0,0.0,0,1.5,77.40911865234375,0,5.0,127.27276611328125,0,8.0,181.40911865234375,0,6.0,234.40911865234375,0,10.73333740234375,332.6424560546875,0,16.24505615234375,408.339599609375,0,12.0,461.40911865234375,0,12.5,516.9091186523438,0,16.71875,568.4091186523438,0,13.0,647.9091186523438,0
0.0,0.0,0,1.5,78.0,0,4.5,128.0,0,8.0,182.5,0,6.0,235.0,0,10.723388671875,333.074462890625,0,16.5,409.0,0,11.5,462.5,0,12.5,517.3181762695312,0,17.0,569.0,0,12.5,648.5,0
0.0,0.0,0,1.5,77.6761474609375,0,4.5,127.8636474609375,0,8.0,182.3636474609375,0,6.0,234.8636474609375,0,10.65216064453125,332.71148681640625,0,16.5,409.18182373046875,0,12.5,462.8636474609375,0,14.0,518.727294921875,0,18.0,571.8636474609375,0,12.0,652.3636474609375,0
0.0,0.0,0,1.66668701171875,78.16668701171875,0,4.44830322265625,127.74139404296875,0,8.0,182.0,0,6.0,235.5,0,10.5,332.727294921875,0,17.0,409.5,0,12.5,464.0,0,13.0,520.5,0,16.5,574.5,0,8.5,655.5,0
0.0,0.0,0,2.14459228515625,77.8291015625,0,5.2144775390625,126.84637451171875,0,8.25396728515625,181.5634765625,0,6.25396728515625,234.0634765625,0,10.75396728515625,332.27178955078125,0,17.75396728515625,408.5634765625,0,12.25396728515625,464.0634765625,0,11.75396728515625,521.5634765625,0,14.25396728515625,576.5634765625,0,4.25396728515625,658.0634765625,0
0.0,0.0,0,1.76922607421875,77.272705078125,0,5.0,127.09088134765625,0,8.5,181.272705078125,0,6.0,233.772705078125,0,11.0,332.272705078125,0,17.69049072265625,408.96319580078125,0,12.0,465.272705078125,0,11.0,523.772705078125,0,11.5,579.772705078125,0,-1.0,661.772705078125,0
0.0,0.0,0,1.5,77.5,0,5.0,127.3636474609375,0,8.0,181.3636474609375,0,6.0,234.0,0,10.65216064453125,332.34783935546875,0,16.7911376953125,409.924072265625,0,11.0,467.0,0,9.0,526.0,0,9.0,582.5,0,-6.5,664.5,0
