,M0X,M0Y,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y,3a0,4a0,5a0,3a1,4a1,5a1,3a2,4a2,5a2,3a3,4a3,5a3,4a4,5a4,5a5,d,M1-PL,M1-PR,M2-PL,M2-PR,M1-Diff,M2-Diff,M1-PL0,M1-PR0,M2-PL0,M2-PR0,M1-Diff0,M2-Diff0,M1-PL1,M1-PR1,M2-PL1,M2-PR1,M1-Diff1,M2-Diff1,M1-PL2,M1-PR2,M2-PL2,M2-PR2,M1-Diff2,M2-Diff2
0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-0.019,-0.019,-0.019,-0.3,-0.3,-0.3,-0.11,-0.11,-0.11,-0.027,-0.027,-0.027,-0.0007,-0.0007,-2.3e-05,20,95,95,95,95,-26,-26,95,95,95,95,-26,-26,95,95,95,95,-26,-26,95,95,95,95,-26,-26
1,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,0.014,0.014,0.014,0.22,0.22,0.22,0.17,0.17,0.17,0.016,0.016,0.016,0.0014,0.0014,8.5e-06,40,121,121,121,121,26,26,121,121,121,121,26,26,121,121,121,121,26,26,121,121,121,121,26,26
