sensors,actuators
"[0, 0, 0, 0]","[False, False, False, False, False, False, False, False]"
"[0, 0, 0, 0]","[False, False, False, False, False, False, False, False]"
"[0, 0, 0, 0]","[False, False, False, False, False, False, False, False]"
"[0, 0, 0, 0]","[False, False, False, False, False, False, False, False]"
