stage,id,ping,mem,memExt,timestamp,init,drivers,p0,p1,p2,p3,yaw,pitch,roll
5,4271,97226,0.5942413806915283,0.005118250846862793,85504502,255,1,98.38130187988281,98.13446807861328,98.0147933959961,98.15690612792969,124.59970092773438,-5.264987945556641,-1.2986862659454346
1,1609,15880,0.5968788862228394,0.005118250846862793,86322424,255,1,96.9975357055664,97.39396667480469,98.72537231445312,98.08958435058594,-64.0961685180664,1.2559486627578735,-0.9595751166343689
4,62872,51793,0.6091474294662476,0.005118250846862793,87983781,255,1,98.16438293457031,98.83757019042969,98.20926666259766,97.88015747070312,-130.68023681640625,-4.011043548583984,-0.7871941924095154
7,1257,78182,0.5660796165466309,0.005118250846862793,84944903,255,1,98.14942932128906,98.63561248779297,97.61087799072266,98.41122436523438,-112.97586059570312,-0.3175008296966553,-1.0407263040542603
0,62943,13177,0.5908271074295044,0.005118250846862793,86123093,255,1,98.49349975585938,98.38877868652344,98.47105407714844,97.99983215332031,-113.69200897216797,0.9573370218276978,-1.7723922729492188
5,4271,97226,0.5942413806915283,0.005118250846862793,85522779,255,1,98.38130187988281,98.13446807861328,98.0147933959961,98.16438293457031,124.59349822998047,-5.264908790588379,-1.2983636856079102
3,31133,118451,0.6077063083648682,0.005118250846862793,88102196,255,1,97.60340118408203,98.22422790527344,98.22422790527344,98.77024841308594,128.43521118164062,-5.687164783477783,0.5173414945602417
2,22877,21246,0.5974919199943542,0.005118250846862793,84906234,255,1,98.08958435058594,98.0970687866211,98.23170471191406,98.5234146118164,-14.651689529418945,0.7347520589828491,-2.019656181335449
1,1609,15880,0.5968788862228394,0.005118250846862793,86344154,255,1,96.97510528564453,97.34908294677734,98.7403335571289,98.07463073730469,-64.0961685180664,1.2559486627578735,-0.9595751166343689
0,62943,13177,0.5908271074295044,0.005118250846862793,86142196,255,0,98.49349975585938,98.37382507324219,98.48602294921875,98.14195251464844,-113.69200897216797,0.9573370218276978,-1.7723922729492188
4,62872,51793,0.6091474294662476,0.005118250846862793,88002769,255,1,98.14942932128906,98.83009338378906,98.2017822265625,97.88015747070312,-130.68023681640625,-4.011043548583984,-0.7871941924095154
2,22877,21246,0.5974919199943542,0.005118250846862793,84923457,255,1,98.11203002929688,98.0970687866211,98.24666595458984,98.53089904785156,-14.651717185974121,0.733859658241272,-2.0265920162200928
3,31133,118451,0.6077063083648682,0.005118250846862793,88122569,255,1,97.58844757080078,98.22422790527344,98.05219268798828,98.76277160644531,128.43521118164062,-5.687164783477783,0.5173414945602417
1,1609,15880,0.5968788862228394,0.005118250846862793,86364488,255,0,96.9526596069336,97.34908294677734,98.68049621582031,98.08958435058594,-64.09626007080078,1.2618757486343384,-0.9632874131202698
6,35431,62841,0.5916500091552734,0.005118250846862793,88522392,255,1,98.51593780517578,98.08210754394531,98.10455322265625,98.17186737060547,142.5137939453125,-9.556185722351074,-1.708594560623169
5,4271,97226,0.5942413806915283,0.005118250846862793,85544408,255,1,98.37382507324219,98.13446807861328,97.99234771728516,98.16438293457031,124.59349822998047,-5.264908790588379,-1.2983636856079102
7,1257,78182,0.5660796165466309,0.005118250846862793,84982635,255,1,98.15690612792969,98.6430892944336,97.60340118408203,98.40373992919922,-112.97586059570312,-0.3175008296966553,-1.0407263040542603
2,22877,21246,0.5974919199943542,0.005118250846862793,84942426,255,0,98.11203002929688,98.08958435058594,98.24666595458984,98.53089904785156,-14.651717185974121,0.733859658241272,-2.0265920162200928
0,62943,13177,0.5908271074295044,0.005118250846862793,86162207,255,0,98.62813568115234,98.5234146118164,98.6131820678711,98.14195251464844,-113.69200897216797,0.9573370218276978,-1.7723922729492188
4,62872,51793,0.6091474294662476,0.005118250846862793,88022396,255,1,98.14195251464844,98.80764770507812,98.17935180664062,97.87267303466797,-130.68023681640625,-4.011043548583984,-0.7871941924095154
3,31133,118451,0.6077063083648682,0.005118250846862793,88142956,255,1,97.61836242675781,98.23918914794922,98.23170471191406,98.77024841308594,128.43521118164062,-5.687164783477783,0.5173414945602417
1,1609,15880,0.6153759956359863,0.005118250846862793,86382334,255,0,96.9526596069336,97.25933074951172,98.76277160644531,98.14195251464844,-64.09626007080078,1.2618757486343384,-0.9632874131202698
6,35431,62841,0.59872967004776,0.005118250846862793,88542729,255,1,98.58325958251953,98.08210754394531,98.08958435058594,98.14942932128906,142.5137939453125,-9.556185722351074,-1.708594560623169
5,4271,97226,0.5961650609970093,0.005118250846862793,85563774,255,0,98.36634063720703,98.14942932128906,97.99234771728516,98.15690612792969,124.59349822998047,-5.264908790588379,-1.2983636856079102
7,1257,78182,0.5642144680023193,0.005118250846862793,85003003,255,1,98.14195251464844,98.63561248779297,97.573486328125,98.40373992919922,-112.97586059570312,-0.3175008296966553,-1.0407263040542603
