TIME,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,ORIGX,ORIGY,TARGX,TARGY,XEEX,XEEY,ERRORX,ERRORY,RMSE,AMPCTIME
3766.403409494,101.409,100.353,101.528,100.822,0.03208350125205195,2.7842847135567226,0.06778020549449737,4.802387958306648,0.2742518180818134,6.797635858645172,0.1293586946421874,8.796484490018923,0.1099297755038473,12.47138213215242,0.11815073318820413,15.348802374185606,0.2844083006303433,17.313227678765767,0.3252786829266918,19.287167027602393,0.2614431976571048,21.351236224267286,0.35409054439967225,24.22381661045359,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8305113661918586,18.453718968070255,-7,29,0.35409054439967225,24.22381661045359,-7.354090544399672,4.776183389546411,8.768955211757426,203.42324999999994
3767.903257623,101.503,100.422,101.484,100.809,0.030723945724617785,2.796682723609477,0.0691799449291477,4.803622011666137,0.28593194044556713,6.790092918795789,0.13354116965145812,8.788383690431688,0.11909505500775142,12.479455883994792,0.11753792860317969,15.353528967600862,0.30098416235642955,17.310898191739224,0.337390782293006,19.28805284124674,0.26643269946960646,21.346399749388514,0.3631486668176642,24.2094644008343,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.842218277827092,18.455575119561654,-7,29,0.3631486668176642,24.2094644008343,-7.363148666817664,4.7905355991657,8.784371896529235,0.0814589999997839
3768.404295234,101.59,100.834,101.572,100.984,0.03590432109638875,2.7923314176542267,0.05414781497189636,4.793455440564799,0.2794757260197316,6.771751166808832,0.13026283255451832,8.780877941231497,0.11939643431186386,12.481631536972419,0.10740488666719195,15.35276655929247,0.2725841859323983,17.308568704712677,0.3268358093312633,19.282812340679037,0.27230959589976544,21.36028369492482,0.36378826067416825,24.29412215177946,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8325540481419438,18.446602030202506,-7,29,0.36378826067416825,24.29412215177946,-7.363788260674168,4.705877848220538,8.739031060158526,0.09300000000012076
3768.906362048,101.54,101.209,101.684,101.084,0.03982894936769443,2.781258747099894,0.07072702535691389,4.796620026714077,0.3026685378005123,6.783523697761568,0.14075083233757169,8.810153744080363,0.10375819708744416,12.49770296887473,0.10764933876940819,15.368810943449915,0.29274311271846787,17.347573243292874,0.3373405524089843,19.328288052218323,0.30082677538650193,21.413741872167552,0.3762720611822157,24.44525903339404,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8335921324116542,18.445560692025186,-7,29,0.3762720611822157,24.44525903339404,-7.376272061182216,4.554740966605959,8.669201508412174,0.08883300000039895
3769.403551622,101.709,101.39,101.79,101.19,0.02332675813816576,2.7761162946073306,0.08267504043543838,4.794625255530235,0.29193943457417415,6.816525327465667,0.11639268724755736,8.873797087749033,0.10541243460112226,12.580663473829574,0.10682556867150939,15.441966640890989,0.29867693635051706,17.421109299646126,0.32087519642773454,19.44382418489563,0.28518853816209466,21.566331724826625,0.34126183202135874,24.609994168739778,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8266503624403052,18.440113952402882,-7,29,0.34126183202135874,24.609994168739778,-7.341261832021359,4.390005831260222,8.553728805894675,174.0193750000003
3769.903774603,101.822,101.603,101.822,101.315,0.03868035935314107,2.7975279656365313,0.09430828157410764,4.822521623390957,0.31951229224136957,6.9105331457140355,0.13452232671928455,8.97560818039112,0.11061290192649853,12.696285821193637,0.10202359175934594,15.589309231046144,0.29547226975014174,17.59843600546881,0.30577944195072493,19.62158196415211,0.2817829520256443,21.744324481366625,0.3321199931300032,24.79216495661948,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8351057262500787,18.46152900440019,-7,29,0.3321199931300032,24.79216495661948,-7.332119993130004,4.20783504338052,8.453748242404542,0.1129580000003294
3770.403109992,102.028,101.84,101.94,101.44,0.03950747810998334,2.7736989024099667,0.09714459569168743,4.813474152733422,0.33167797015064315,6.950445474231282,0.13349428842637368,8.995738464507314,0.08998516288958958,12.74438178301677,0.10359076414072343,15.653824864486726,0.28007513596901945,17.698840615377886,0.30857892082001936,19.742318025779817,0.23594985718827388,21.871739645492077,0.3055852197325246,24.98534502190149,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8337260787690397,18.441662435796434,-7,29,0.3055852197325246,24.98534502190149,-7.305585219732524,4.014654978098509,8.336008037180953,0.0699169999993643
3770.903317066,102.109,101.784,102.072,101.553,0.04235383820435579,2.796872057823535,0.10298465687356106,4.843341625001219,0.3365871041487123,7.043242905896916,0.14327906983316407,9.090446143154079,0.11316458003463947,12.855688324590721,0.10799425063966783,15.793883158852772,0.29598461456712855,17.852057637621026,0.297468070475136,19.916086262668625,0.19554158982489667,22.083853132179982,0.24803516728311492,25.18800870272699,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.8367934503530985,18.432777251608094,-7,29,0.24803516728311492,25.18800870272699,-7.248035167283115,3.8119912972730106,8.189340109963558,0.10354199999973446
3771.403093232,102.015,102.165,102.022,101.647,0.025998987967955856,2.8002665498041672,0.08840459587247529,4.868509551598631,0.3337106061239228,7.061834849523889,0.15294329951831842,9.156973452619042,0.10259621243716022,12.913147877589505,0.08388725496975047,15.843551270846216,0.26019079921558275,17.948034869792426,0.28704704387077884,20.03675301445012,0.18719003444209803,22.205356673568254,0.21210405691525258,25.345206814917535,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8246445157385052,18.449448805349608,-7,29,0.21210405691525258,25.345206814917535,-7.212104056915253,3.6547931850824646,8.085292706729836,169.31612499999994
3771.905080936,101.903,102.278,102.047,101.915,0.040160466602217504,2.794643999840236,0.10495031966815116,4.890624463994335,0.3443392495822233,7.11896982958428,0.15609103891680376,9.177188260937944,0.10291768369487153,12.924477501720066,0.09357492526743472,15.914110384780201,0.2638240941595753,18.015627184211468,0.27830704405156714,20.076107483229514,0.15261847960165742,22.284430755682727,0.14518110810799567,25.419708982907704,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.831442293375663,18.433318206505408,-7,29,0.14518110810799567,25.419708982907704,-7.1451811081079954,3.5802910170922964,7.99200205422491,0.07249999999991985
3772.404763657,102.284,102.472,102.165,101.872,0.05948222865465169,2.7916991766180015,0.12649559125313425,4.93170660747702,0.36291426069224775,7.1883642000049885,0.18065345220183016,9.26669601063431,0.1208899361966771,13.057341095951877,0.07596432793057528,16.039938184378855,0.2149236277381521,18.18394191954176,0.2132559955887372,20.283124160494317,0.09449580647444611,22.507246696917125,0.03720025210406441,25.64162305089924,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.8392346227163965,18.436357696834676,-7,29,0.03720025210406441,25.64162305089924,-7.037200252104064,3.3583769491007587,7.797492104546488,0.07100000000015427
3772.906421657,102.228,102.647,102.265,102.009,0.055986228726969456,2.7876487768243816,0.11336884822964577,4.949791405887757,0.3625693488219881,7.238517480921962,0.17985312271646747,9.355131993440375,0.1156861202123638,13.12184827697219,0.06742859630636944,16.121896232289618,0.193123858074141,18.277860142135264,0.17999711505065874,20.40244190600064,0.034333800056080443,22.66443128523524,-0.04471129409429042,25.832004519829695,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.836595879475961,18.430566098465338,-7,29,-0.04471129409429042,25.832004519829695,-6.955288705905709,3.1679954801703047,7.642789827339163,0.07504100000055303
3773.403515305,101.99,102.984,102.334,102.047,0.06342025156169395,2.7941436165602234,0.1352724263206253,4.949027307095298,0.3766504596418234,7.291365393421163,0.21289099176486603,9.37702038097283,0.10163179866400163,13.167902134057972,0.03549243604743313,16.207399225261824,0.15930240283504737,18.36784460833488,0.14480940696626265,20.49496547924951,0.00420591562181305,22.733979489704872,-0.08922501731144306,25.92406320996369,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.836070140023231,18.432009771847536,-7,29,-0.08922501731144306,25.92406320996369,-6.910774982688557,3.075936790036309,7.564403347102328,150.99116699999993
3773.904345582,101.984,103.09,102.272,102.047,0.08703499436824202,2.804651665440497,0.15482859449847597,5.019605016353879,0.4155585278025189,7.363170394103017,0.2580141709081121,9.411756447316428,0.10905242686299577,13.219345254308216,0.013371195125717161,16.244559445739,0.1417252920875296,18.422335671334668,0.12672664871961992,20.549938330204714,-0.05101347020913538,22.8019994965896,-0.11735375236177248,25.99201137127612,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8471073198715562,18.432476345446467,-7,29,-0.11735375236177248,25.99201137127612,-6.8826462476382275,3.0079886287238793,7.511245899360554,0.07708299999986679
3774.40488523,102.034,103.34,102.503,102.09,0.07205979161286846,2.807826394494091,0.1457235908553931,5.033287794287746,0.38703799965683894,7.3932001528400075,0.21695626371143173,9.495705885442922,0.08408817450581929,13.322650734854127,-0.06895558478053054,16.35677884870217,0.031062160277009143,18.53569953200246,-0.06051696426543107,20.705533863511977,-0.17881838710568831,22.948228057753102,-0.30612770247992205,26.129588880292783,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8376507070403452,18.431401197588063,-7,29,-0.30612770247992205,26.129588880292783,-6.693872297520078,2.8704111197072173,7.2833499388430845,0.07875000000012733
