,M0X,M0Y,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y,M1-PL,M1-PR,M2-PL,M2-PR,M1-Diff,M2-Diff,M1-PL0,M1-PR0,M2-PL0,M2-PR0,M1-Diff0,M2-Diff0,M1-PL1,M1-PR1,M2-PL1,M2-PR1,M1-Diff1,M2-Diff1,M1-PL2,M1-PR2,M2-PL2,M2-PR2,M1-Diff2,M2-Diff2
0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,-15,0,95,95,95,95,-26,-26,95,95,95,95,-26,-26,95,95,95,95,-26,-26,95,95,95,95,-26,-26
1,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,15,40,121,121,121,121,26,26,121,121,121,121,26,26,121,121,121,121,26,26,121,121,121,121,26,26
