TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
9.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,104.053,100.859,0.03962426259032359,2.803540876543277,0.12192090456615445,4.554599764004102,0.14630514129037153,6.388749464565608,0.07315257064518565,8.253673441216268,0.1645932839516615,11.891198425376459,0.2560339972581438,14.937856407033472,0.23774585459684738,17.061284697279266,0.5669324225001706,19.25857136283796,1.4081869849197752,21.30814127777086,2.194577119355497,24.447122228568997
9.578,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.109,100.553,104.184,100.859,0.018288142661296414,2.817696990012294,0.09144071330648229,4.571833403693606,0.11701665402902894,6.410546002464468,0.03657628532259283,8.290602628872717,0.13726152972775774,11.905807729445645,0.2304305696268345,14.982171460395943,0.21945771193555097,17.098213884935717,0.585220565161467,19.313965144322637,1.4264751275810716,21.38199965308376,2.2677296900006763,24.50251601005367
10.128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.559,104.403,100.859,0.021336119929027175,2.8220054703715043,0.10363276190485804,4.57306435783233,0.12801699862907512,6.407214058393835,0.03657628532259283,8.290602628872717,0.1360180610433872,11.92812761303291,0.23138479789573463,14.981208025358779,0.21945771193555097,17.11667847876394,0.62179685048406,19.350894331979084,1.4953475539980625,21.4303218580228,2.377458545968455,24.53944519771012
10.701,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,104.628,100.859,0.019812201058891254,2.7866149049516267,0.10450369228275957,4.547565659855007,0.15374432664095794,6.405023331933396,0.05486442798388924,8.253673441216268,0.1541556535800832,11.907231117019192,0.2560339972581438,14.97478559468992,0.23774585459684738,17.109292613057914,0.6514062508932899,19.357928436128184,1.572780268871437,21.455858028396655,2.5054755445975236,24.576374385366567
11.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,104.822,100.853,0.010241385005270942,2.814742657817252,0.10450369228275957,4.566030253683234,0.138009536417268,6.400361258659542,0.07315257064518565,8.272138035044495,0.1645932839516615,11.909663019204686,0.2743221399194402,15.01171478234637,0.2560339972581438,17.172072260248616,0.6879825362158827,19.41332221761286,1.664220982177919,21.529716403709557,2.646967965361643,24.622049926208412
11.661,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.653,100.553,105.003,100.859,0.03900001675393372,2.7926029516554216,0.10692742371410047,4.533550349620338,0.14043326784860888,6.367881354596646,0.05728815941523013,8.2396581309816,0.1567299351360245,11.895647708970014,0.2584577286894847,14.979234878283474,0.2767458713507811,17.176521543842167,0.7522375805444695,19.429201990885534,1.721509141593143,21.515701093474885,2.763933273287002,24.636217450444796
12.138,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,100.653,100.553,105.178,100.859,0.05087854715956741,2.7694524064660726,0.11401625562365947,4.5152357158150735,0.13927128319831894,6.336196400660183,0.08440685521442948,8.219584971139064,0.16540993814932703,11.873142646941988,0.28557642448868403,14.977626312269164,0.30386456714998045,17.15644838399963,0.779356276343669,19.427593424871223,1.7852041227149351,21.532557121288797,2.873348611062032,24.634608884430484
12.654,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,100.659,100.559,105.24,101.047,0.044414100613844765,2.78815366806187,0.11756667125903064,4.542290081743177,0.15414295658162347,6.382594623435146,0.06270224327514118,8.253673441216268,0.16199346887133514,11.907231117019192,0.2861604864178513,15.021235588539046,0.30044809787198856,17.227466041733283,0.8125160923882699,19.498611082604878,1.854940224082129,21.60357477902245,2.9605979196020797,24.70312286484318
13.101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,100.659,100.565,105.359,101.184,0.018288142661296414,2.8250828557183176,0.09144071330648229,4.560754675571404,0.1097288559677787,6.388749464565615,0.03657628532259283,8.272138035044495,0.1463051412903651,11.89119842537646,0.28448225018181317,15.067108563831045,0.2926102825807366,17.28285982321796,0.8412545624196046,19.572469457917776,1.9019668367747602,21.714362341991798,3.0279938664838433,24.83751648801762
14.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,100.659,100.559,105.603,101.259,0.03657628532259283,2.810311194743104,0.12078682540698549,4.553712330312541,0.14630514129037153,6.3924423974186215,0.05486442798388924,8.257366374069282,0.1645932839516615,11.876426764401247,0.28789969615199373,15.060170394652012,0.36576285322591606,17.305017349899195,0.8961189904034939,19.63155617225546,1.938543122097353,21.773449056329483,3.0871900638545027,24.92668508435063
