TIME,M1-AL-IN,M1-AL-OUT,M1-AR-IN,M1-AR-OUT,M2-AL-IN,M2-AL-OUT,M2-AR-IN,M2-AR-OUT,PUMP,GATE,M1-PL,M1-PR,M2-PL,M2-PR,M1X,M1Y,M2X,M2Y,M3X,M3Y,M4X,M4Y,M5X,M5Y,M6X,M6Y,M7X,M7Y,M8X,M8Y,M9X,M9Y,M10X,M10Y
13.879,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.365,111.253,108.203,0.03657628532259283,2.9912642001723384,-0.018288142661296636,5.207015459559258,-0.256033997258144,7.4412313127743985,-0.6686144510481882,9.57278406938419,-1.499627698226251,13.276042962493285,-2.502315805837849,17.185896545785177,-3.4124319115329094,20.170859044024855,-4.07825581346896,23.376175786531988,-4.517171237340056,26.699802675612364,-5.409965148948985,30.683119131385332
14.388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.359,104.365,111.491,108.203,0.05486442798388946,2.9912642001723384,0.03657628532259305,5.170086271902809,-0.23774585459684738,7.4412313127743985,-0.6503263083868915,9.57278406938419,-1.498321442186864,13.2588972279746,-2.471161696967595,17.183112952479597,-3.375178359940798,20.190007509089796,-4.041679528146368,23.413104974188435,-4.407442381372281,26.68133808178414,-5.2669850864531815,30.753491165083993
14.904,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.365,111.716,108.203,0.05486442798388946,2.9912642001723384,0.03657628532259305,5.170086271902809,-0.23774585459684738,7.4412313127743985,-0.6583731358066462,9.564659603020198,-1.498321442186864,13.2588972279746,-2.4485790387501787,17.178227171815912,-3.3650182496784247,20.200265648077405,-4.005103242823775,23.46849875567311,-4.352577953388395,26.736731863268815,-5.193832515807999,30.817407099306386
15.391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.359,104.365,111.953,108.197,0.03657628532259283,2.9912642001723384,-0.018288142661296636,5.207015459559258,-0.274322139919434,7.4412313127743985,-0.6686144510481882,9.572783998947356,-1.499627698226251,13.257578368665062,-2.4894498396288913,17.183112952479597,-3.373146282077342,20.21052378706501,-4.023391385485072,23.486963349501334,-4.352577953388394,26.81059023858171,-5.120679945162816,30.87280088079106
15.939,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.359,112.153,108.197,0.05486442798388946,2.9912642001723384,0.0,5.188550865731031,-0.23774585459684738,7.422766718946177,-0.6583731358066462,9.52773041536375,-1.4813395555649544,13.257578368665062,-2.487187401936227,17.209001447905063,-3.3467301070171285,20.237194835733852,-3.974242002082841,23.52389253715778,-4.279425382743212,26.847519426238158,-5.010951089195041,30.90973006844751
16.452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.359,112.434,108.197,0.018288142661296414,3.0097287940005604,-0.018288142661296636,5.188550865731031,-0.256033997258144,7.422766718946177,-0.6766612784679429,9.58312419684842,-1.499627698226251,13.257578368665062,-2.505475544597523,17.209001447905063,-3.3650182496784247,20.255659429562076,-3.950238814839885,23.542357130986005,-4.242849097420619,26.865984020066385,-4.974374803872451,30.983588443760407
17.013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.359,112.641,108.19,0.03657628532259283,2.972799606344111,-0.018288142661296636,5.188550865731031,-0.256033997258144,7.422766718946177,-0.6949494211292395,9.58312419684842,-1.5166095848481607,13.258897298411433,-2.487187401936227,17.209001447905063,-3.3467301070171285,20.2741240233903,-3.931950672178589,23.560821724814232,-4.224560954759325,26.958306989207507,-4.901222233227268,31.03898222524508
17.482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.359,104.365,112.853,108.19,0.05486442798388946,2.9912642001723384,-0.018288142661296414,5.188550865731031,-0.25603399725813736,7.4412313127743985,-0.6766612784679429,9.58312419684842,-1.4813395555649544,13.257578368665062,-2.484027663176553,17.222825733441624,-3.3284419643558323,20.292588617218527,-3.8770862441947065,23.59775091247068,-4.133120241452843,26.958306989207507,-4.773205234598197,31.094376006729753
18.003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.359,104.359,113.091,108.19,0.06879819781060914,2.981592236530492,0.0,5.188550865731031,-0.23774585459684738,7.404302125117949,-0.6495676976107576,9.573549999534366,-1.498321442186864,13.258897298411433,-2.465574180480366,17.240894824438026,-3.310153821694535,20.31105321104675,-3.8587981015334094,23.634680100127127,-4.096543956130251,26.995236176863955,-4.718340806614311,31.149769788214428
18.473,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,101.353,104.359,113.272,108.19,0.03657628532259283,2.9912642001723384,-0.00673778083125498,5.207015459559258,-0.274322139919434,7.4412313127743985,-0.6949494211292395,9.564659603020198,-1.499627698226251,13.257578368665062,-2.503018884686652,17.25667866274063,-3.310153821694535,20.31105321104675,-3.874519497121363,23.66610232466685,-4.096543956130257,27.050629958348626,-4.645188235969128,31.2051635696991
